"PSRJ","Mode","W10"
"J1646-6831","OXO","20"
"J1648-4611","Xs","11"
"J1648-6044","Os","6"
"J1650-1654","Od","11"
"J1651-1709","Od?","11"
"J1651-4246","Xd?","37"
"J1651-5222","Xd","7"
"J1653-3838","OX(O)","8"
"J1653-4249","Xs","6"
"J1654-3710","Xd?","6"
"J1655-3048","Xd?","37"
"J1655-3844","Xs","8"
"J1659-1305","OXO?","29"
"J1700-3312","Od","12"
"J1700-3919","Od","6"
"J1700-4939","Xs?","6"
"J1701-3130","Od?","6"
"J1701-4533","Xs","12"
"J1703-1846","Os","6"
"J1703-3241","Od","13"
"J1703-4442","Od","13"
"J1703-4851","OXO","12"
"J1705-1906","Xd","6"
"J1705-3423","Os","10"
"J1705-3950","Xs","6"
"J1707-4341","Xs?","4"
"J1707-4417","Od?","36"
"J1707-4729","OX(O)?","19"
"J1709-1640","Xs?","6"
"J1709-3626","Xs","9"
"J1709-4401","Xs","5"
"J1709-4429","Os","7"
"J1711-1509","Xs?","5"
"J1711-5350","Xs?","6"
"J1714-1054","Xs","4"
"J1715-3903","Xs","6"
"J1716-4711","OX(O)?","6"
"J1717-3425","Od","7"
"J1717-5800","OXO?","12"
"J1718-3825","Od","12"
"J1719-4006","Xs","6"
"J1720+2150","OX(O)?","10"
"J1720-0212","Xs","25"
"J1720-1633","OX(O)?","11"
"J1720-2933","Od","9"
"J1720-3659","Os?","5"
"J1721-3532","Xs","20"
"J1722-3207","Xd","6"
"J1722-3632","Od","15"
"J1722-3712","Xs","3"
"J1722-4400","Xs","2"
"J1723-3659","Xs","6"
"J1727-2739","Od","27"
"J1728-0007","Od","12"
"J1730-3350","Xs","8"
"J1731-4744","Od","7"
"J1732-4156","Xs?","13"
"J1733-3716","Xd?","28"
"J1733-4005","Xs","4"
"J1734-0212","Xd","10"
"J1735-0724","OXO?","10"
"J1737-3102","Xs","6"
"J1737-3555","Xs","4"
"J1738-2955","Xs","4"
"J1738-3211","Os","6"
"J1739+0612","Xd","6"
"J1739-1313","Xs?OXO?","4"
"J1739-2903","Xs","4"
"J1739-3023","Os","4"
"J1739-3131","Os","12"
"J1740+1000","Od","8"
"J1740+1311","Od","13"
"J1740-3015","Xs","2"
"J1741-0840","Od","16"
"J1741-3927","XOX?","9"
"J1742-4616","Od","14"
"J1743-0339","Xd","4"
"J1743-1351","Xs","9"
"J1743-3150","Os","11"
"J1743-3153","Xs?","9"
"J1743-4212","Od","8"
"J1744-1610","OXO?","9"
"J1744-3130","Xs?","6"
"J1745-0129","Xs","3"
"J1745-3040","Xs?","4"
"J1745-3812","Xs","5"
"J1746+2245","Xs","17"
"J1748-1300","OXO","9"
"J1750-3157","Od","27"
"J1750-3503","Os","30"
"J1751-3323","Xd","11"
"J1751-4657","Od","6"
"J1752-2806","Xs?","4"
"J1754-3510","Xs?","2"
"J1755-0903","Xs?","3"
"J1757-1500","Xd","3"
"J1757-2421","Od?","8"
"J1759-2205","Xs?","2"
"J1759-3107","Od?","5"
"J1800-0125","Xs","12"
"J1801-0357","Xs?","4"
"J1801-2451","Os","5"
"J1801-2920","Od","22"
"J1802+0128","Os?","7"
"J1803-2137","Od?","37"
"J1803-3329","Od?","7"
"J1805+0306","OXO","7"
"J1805-0619","Od","12"
"J1806-1154","Od","16"
"J1807-0847","XOX?","9"
"J1807-2715","OXO?","5"
"J1808-0813","Os","9"
"J1808-1020","Os","5"
"J1808-3249","OX(O)?","7"
"J1809-0119","Xs","6"
"J1809-0743","Od","8"
"J1809-1429","Os","5"
"J1809-1917","Od","21"
"J1809-1943","Od?","118"
"J1809-2109","Xs","5"
"J1810-5338","XOX?","13"
"J1811+0702","Xd?Od?","6"
"J1811-0154","Xs?","8"
"J1811-4930","Xd","8"
"J1812-1733","Os?","34"
"J1812-3039","OXO?","6"
"J1814-0521","Xd","14"
"J1816-0755","Os","3"
"J1816-1729","Xs","6"
"J1817-3618","Os","6"
"J1818-1422","Os","12"
"J1818-1607","Os","12"
"J1819+1305","OXO?","22"
"J1819-0925","Os?","9"
"J1820-0427","Os?","5"
"J1820-0509","Os?","5"
"J1821+1715","Os","13"
"J1821-0331","Os","6"
